Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Session,Order pressed,Response type
S1,2017.08.10,133,34,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.3,243.9833,4006,4,1,FALSE,0,6,3,3,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,134,34,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.35,244.3333,4006,4,1,FALSE,0,6,4,0,4006.03,,40,3,2,1,Testing,,
S1,2017.08.10,135,34,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.7333333,245.0667,4006,4,1,FALSE,0,6,5,4,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,136,34,B,D,1,0,No Hint,Unknown,1,0,bl,0.45,245.5167,4006,4,1,FALSE,0,6,0,5,4006.02,,40,3,2,1,Testing,,
S1,2017.08.10,150,39,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.7,276.9167,4006,4,1,FALSE,0,6,4,4,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,151,39,C,B,1,0,No Hint,Unknown,bl,bl,bl,1.05,277.9667,4006,4,1,FALSE,0,6,2,1,4006.03,,40,3,2,1,Testing,,
S1,2017.08.10,152,39,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.25,278.2167,4006,4,1,FALSE,0,6,5,2,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,153,39,B,D,1,0,No Hint,Unknown,1,0,bl,0.3166667,278.5333,4006,4,1,FALSE,0,6,1,5,4006.02,,40,3,2,1,Testing,,
S1,2017.08.10,154,40,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.816667,284.3167,4006,4,1,FALSE,0,6,0,0,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,155,40,C,B,1,0,No Hint,Unknown,bl,bl,bl,1.483333,285.8,4006,4,1,FALSE,0,6,5,2,4006.03,,40,3,2,1,Testing,,
S1,2017.08.10,156,40,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.4166667,286.2167,4006,4,1,FALSE,0,6,3,5,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,157,40,B,D,1,0,No Hint,Unknown,1,0,bl,0.45,286.6667,4006,4,1,FALSE,0,6,2,3,4006.02,,40,3,2,1,Testing,,
S2,2017.09.27,1,1,C,A,1,0,No Hint,Unknown,bl,bl,bl,2.05,6.65,4006,4,1,FALSE,0,3,4,1,4006.03,,80,3,2,1,Testing,CABD,Center Embedded
S2,2017.09.27,2,1,A,B,1,0,No Hint,Unknown,bl,bl,bl,1.85,8.433333,4006,4,1,FALSE,0,3,1,3,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,3,1,B,C,1,0,No Hint,Unknown,bl,bl,bl,0.6166667,9.05,4006,4,1,FALSE,0,3,3,4,4006.02,,80,3,2,1,Testing,,
S2,2017.09.27,4,1,D,D,1,0,No Hint,Unknown,1,0,bl,0.3333333,9.383333,4006,4,1,FALSE,0,3,2,2,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,5,2,C,A,1,0,No Hint,Unknown,bl,bl,bl,1.666667,14.95,4006,4,1,FALSE,0,3,2,5,4006.03,,80,3,2,1,Testing,CABD,Center Embedded
S2,2017.09.27,6,2,A,B,1,0,No Hint,Unknown,bl,bl,bl,0.4166667,15.36667,4006,4,1,FALSE,0,3,5,4,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,7,2,B,C,1,0,No Hint,Unknown,bl,bl,bl,0.7,16.06667,4006,4,1,FALSE,0,3,4,2,4006.02,,80,3,2,1,Testing,,
