Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Test or Training,Order pressed,Response type,Age,TACL Vocab Raw,TACL Grammar Morph Raw ,TACL EPS RAW,TEMA RAW,FORWARDS DIGITS,STD ACC,EXCLUDE,Notes
k0473,2015.04.14,10,3,C,B,1,0,No Hint,Unknown,,bl,bl,2.45,28.81667,4006,4,1,FALSE,0,6,0,3,4006.03,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,11,3,D,C,1,0,No Hint,Unknown,,bl,bl,0.8,29.61667,4006,4,1,FALSE,0,6,5,0,4006.04,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,12,3,B,D,1,0,No Hint,Unknown,1,0,bl,0.75,30.36667,4006,4,1,FALSE,0,6,3,5,4006.02,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,13,4,A,A,1,0,No Hint,Unknown,,bl,bl,2.583333,37.98333,4006,4,1,FALSE,0,6,4,4,4006.01,,40,3,2,1,TEST,ACDB,Center Embedded,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,14,4,C,B,1,0,No Hint,Unknown,,bl,bl,0.9666667,38.95,4006,4,1,FALSE,0,6,2,1,4006.03,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,15,4,D,C,1,0,No Hint,Unknown,,bl,bl,3.116667,42.06667,4006,4,1,FALSE,0,6,5,2,4006.04,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,16,4,B,D,1,0,No Hint,Unknown,1,0,bl,0.6666667,42.73333,4006,4,1,FALSE,0,6,1,5,4006.02,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,17,5,A,A,1,0,No Hint,Unknown,,bl,bl,2.5,49.73333,4006,4,1,FALSE,0,6,0,0,4006.01,,40,3,2,1,TEST,ACDB,Center Embedded,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,18,5,C,B,1,0,No Hint,Unknown,,bl,bl,0.65,50.38333,4006,4,1,FALSE,0,6,3,2,4006.03,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,19,5,D,C,1,0,No Hint,Unknown,,bl,bl,0.7,51.08333,4006,4,1,FALSE,0,6,5,3,4006.04,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,20,5,B,D,1,0,No Hint,Unknown,1,0,bl,0.4333333,51.51667,4006,4,1,FALSE,0,6,2,5,4006.02,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,22,7,A,A,1,0,No Hint,Unknown,,bl,bl,1.533333,66.66667,4006,4,1,FALSE,0,6,5,5,4006.01,,40,3,2,1,TEST,ACDB,Center Embedded,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,23,7,C,B,1,0,No Hint,Unknown,,bl,bl,1.983333,68.65,4006,4,1,FALSE,0,6,1,4,4006.03,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,24,7,D,C,1,0,No Hint,Unknown,,bl,bl,2.116667,70.76667,4006,4,1,FALSE,0,6,2,1,4006.04,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,25,7,B,D,1,0,No Hint,Unknown,1,0,bl,0.6833333,71.45,4006,4,1,FALSE,0,6,4,2,4006.02,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,26,8,A,A,1,0,No Hint,Unknown,,bl,bl,2.266667,78.58333,4006,4,1,FALSE,0,6,1,1,4006.01,,40,3,2,1,TEST,ACDB,Center Embedded,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,27,8,C,B,1,0,No Hint,Unknown,,bl,bl,1.75,80.33333,4006,4,1,FALSE,0,6,3,4,4006.03,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,28,8,D,C,1,0,No Hint,Unknown,,bl,bl,3,83.33333,4006,4,1,FALSE,0,6,5,3,4006.04,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,29,8,B,D,1,0,No Hint,Unknown,1,0,bl,0.8333333,84.16667,4006,4,1,FALSE,0,6,4,5,4006.02,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,34,10,A,A,1,0,No Hint,Unknown,,bl,bl,1.916667,104.3167,4006,4,1,FALSE,0,6,4,4,4006.01,,40,3,2,1,TEST,ACDB,Center Embedded,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,35,10,C,B,1,0,No Hint,Unknown,,bl,bl,1.483333,105.8,4006,4,1,FALSE,0,6,3,5,4006.03,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,36,10,D,C,1,0,No Hint,Unknown,,bl,bl,1.1,106.9,4006,4,1,FALSE,0,6,0,3,4006.04,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,37,10,B,D,1,0,No Hint,Unknown,1,0,bl,0.6833333,107.5833,4006,4,1,FALSE,0,6,5,0,4006.02,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,38,11,A,A,1,0,No Hint,Unknown,,bl,bl,2.066667,113.9333,4006,4,1,FALSE,0,6,1,1,4006.01,,40,3,2,1,TEST,ACDB,Center Embedded,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,39,11,C,B,1,0,No Hint,Unknown,,bl,bl,1.783333,115.7167,4006,4,1,FALSE,0,6,2,4,4006.03,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,40,11,D,C,1,0,No Hint,Unknown,,bl,bl,2.066667,117.7833,4006,4,1,FALSE,0,6,0,2,4006.04,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,41,11,B,D,1,0,No Hint,Unknown,1,0,bl,0.6333333,118.4167,4006,4,1,FALSE,0,6,4,0,4006.02,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,43,13,C,A,1,0,No Hint,Unknown,,bl,bl,1.75,134.8833,4006,4,1,FALSE,0,6,3,2,4006.03,,40,3,2,1,TEST,CABD,Center Embedded,4.739219713,39,53,45,22,21,0.7,0,0
k0473,2015.04.14,44,13,A,B,1,0,No Hint,Unknown,,bl,bl,2.85,137.7333,4006,4,1,FALSE,0,6,2,5,4006.01,,40,3,2,1,TEST,,,4.739219713,39,53,45,22,21,0.7,0,0
